주문ID,고객명,주문일자,카테고리,상품명,주문수량,개당가격,주문금액,도시,국가,결제방식
ORD-1049,남도윤,2026-04-01,전자,USB케이블,2,5000.0,10000.0,울산,한국,현금
ORD-1050,최유진,2026-04-01,사무,펜세트,1,6000.0,6000.0,대구,한국,현금
ORD-1051,오준호,2026-04-06,주방,텀블러,3,16000.0,48000.0,서울,한국,카드
ORD-1052,유서준,2026-04-26,생활,노트북거치대,2,28000.0,56000.0,광주,한국,현금
ORD-1053,김민수,2026-04-23,생활,스탠드,1,22000.0,22000.0,서울,한국,카드
ORD-1054,홍지아,2026-04-14,전자,무선이어폰,1,59000.0,59000.0,창원,한국,현금
ORD-1055,조현우,2026-04-08,사무,노트,5,3000.0,15000.0,대구,한국,카드
ORD-1056,김하율,2026-04-13,전자,미확인상품,4,42000.0,168000.0,서울,한국,간편결제
ORD-1057,이도겸,2026-04-01,전자,키보드,2,35000.0,70000.0,전주,한국,현금
ORD-1058,정하늘,2026-04-24,주방,텀블러,2,16000.0,32000.0,대전,한국,현금
ORD-1059,배수지,2026-04-30,생활,수납박스,2,12000.0,24000.0,광주,한국,카드
ORD-1060,윤도현,2026-04-09,주방,텀블러,3,16000.0,48000.0,대전,한국,카드
ORD-1061,윤도현,2026-04-09,생활,스탠드,1,22000.0,22000.0,창원,한국,간편결제
ORD-1062,오준호,2026-04-29,생활,수납박스,2,12000.0,24000.0,서울,한국,카드
ORD-1063,정하늘,2026-04-10,전자,키보드,2,35000.0,70000.0,부산,한국,간편결제
ORD-1065,권민재,2026-04-10,생활,노트북거치대,2,28000.0,56000.0,전주,한국,계좌이체
ORD-1066,유서준,2026-04-08,주방,텀블러,4,16000.0,64000.0,전주,한국,카드
ORD-1067,한지민,2026-04-23,사무,펜세트,3,6000.0,18000.0,창원,한국,간편결제
ORD-1068,박서진,2026-04-20,생활,멀티탭,1,18000.0,18000.0,수원,한국,간편결제
ORD-1069,홍지아,2026-04-19,생활,수납박스,1,12000.0,0.0,광주,한국,간편결제
ORD-1070,김민수,2026-04-15,사무,파일케이스,2,4500.0,9000.0,대전,한국,계좌이체
ORD-1072,신예린,2026-04-22,주방,물병,1,12000.0,12000.0,전주,한국,현금
ORD-1073,장서윤,2026-04-29,주방,머그컵,3,7000.0,21000.0,대구,한국,현금
ORD-1074,서지우,2026-04-06,전자,키보드,1,35000.0,35000.0,미확인,한국,간편결제
ORD-1075,백하린,2026-04-30,생활,스탠드,2,22000.0,44000.0,수원,한국,계좌이체
ORD-1076,박지훈,2026-04-03,전자,키보드,4,35000.0,140000.0,수원,한국,계좌이체
ORD-1077,한지민,2026-04-25,생활,노트북거치대,1,28000.0,28000.0,전주,한국,현금
ORD-1078,박서진,2026-04-16,주방,머그컵,1,7000.0,7000.0,부산,한국,계좌이체
ORD-1079,최유진,2026-04-10,주방,머그컵,1,7000.0,7000.0,울산,한국,현금
ORD-1080,강소라,2026-04-10,전자,키보드,2,35000.0,70000.0,대전,한국,간편결제
ORD-1081,유서준,2026-04-23,생활,멀티탭,5,18000.0,90000.0,광주,한국,계좌이체
ORD-1082,배수지,2026-04-23,전자,USB케이블,1,5000.0,5000.0,전주,한국,계좌이체
ORD-1083,권민재,2026-04-14,사무,파일케이스,4,4500.0,18000.0,인천,한국,계좌이체
ORD-1084,백하린,2026-04-12,사무,노트,2,3000.0,6000.0,대전,한국,카드
ORD-1085,이서연,2026-04-20,사무,노트,3,3000.0,9000.0,서울,한국,계좌이체
ORD-1086,김하율,2026-04-07,전자,USB케이블,2,5000.0,10000.0,창원,한국,카드
ORD-1087,백하린,2026-04-03,주방,물병,2,12000.0,24000.0,수원,한국,간편결제
ORD-1088,장서윤,2026-04-20,주방,물병,2,0.0,24000.0,대전,한국,계좌이체
ORD-1089,박서진,2026-04-18,전자,웹캠,5,42000.0,210000.0,인천,한국,간편결제
ORD-1090,김민수,2026-04-28,주방,물병,1,12000.0,12000.0,부산,한국,현금
ORD-1091,홍지아,2026-04-07,전자,USB케이블,2,5000.0,10000.0,부산,한국,카드
ORD-1092,신예린,2026-04-08,생활,수납박스,2,12000.0,24000.0,광주,한국,현금
ORD-1093,임다은,2026-04-04,전자,키보드,1,0.0,0.0,대전,한국,카드
ORD-1094,박지훈,2026-04-11,생활,수납박스,1,12000.0,12000.0,대구,한국,카드
ORD-1095,박지훈,2026-04-27,생활,수납박스,1,12000.0,12000.0,부산,한국,계좌이체
ORD-1096,유서준,2026-04-30,생활,수납박스,3,12000.0,36000.0,수원,한국,계좌이체
ORD-1097,박지훈,2026-04-18,사무,펜세트,5,6000.0,30000.0,창원,한국,계좌이체
ORD-1098,남도윤,2026-04-14,주방,물병,3,12000.0,36000.0,서울,한국,현금
ORD-1099,백하린,2026-04-13,생활,스탠드,3,22000.0,66000.0,대전,한국,계좌이체
ORD-1100,신예린,2026-04-02,주방,물병,1,12000.0,12000.0,수원,한국,미확인
ORD-1101,조현우,2026-04-23,전자,마우스,3,15000.0,45000.0,창원,한국,카드
ORD-1102,남도윤,2026-04-16,전자,USB케이블,5,5000.0,25000.0,창원,한국,카드
ORD-1103,배수지,2026-04-06,주방,텀블러,5,16000.0,80000.0,대구,한국,카드
ORD-1104,김하율,2026-04-05,전자,키보드,3,35000.0,105000.0,울산,한국,간편결제
ORD-1105,홍지아,2026-04-20,사무,펜세트,3,6000.0,18000.0,대전,한국,카드
ORD-1106,유서준,2026-04-15,주방,텀블러,1,16000.0,16000.0,인천,한국,계좌이체
ORD-1107,조현우,2026-04-17,전자,키보드,3,35000.0,105000.0,창원,한국,간편결제
ORD-1108,신예린,2026-04-08,전자,웹캠,1,42000.0,42000.0,대구,한국,현금
ORD-1109,장서윤,2026-04-24,미분류,USB케이블,1,5000.0,5000.0,전주,한국,간편결제
ORD-1110,최유진,2026-04-22,생활,멀티탭,2,18000.0,36000.0,울산,한국,간편결제
ORD-1111,강소라,2026-04-29,생활,노트북거치대,5,28000.0,140000.0,수원,한국,현금
ORD-1113,배수지,2026-04-05,주방,머그컵,4,7000.0,28000.0,창원,한국,간편결제
ORD-1114,오준호,2026-04-09,전자,무선이어폰,4,59000.0,236000.0,서울,한국,카드
ORD-1115,임다은,2026-04-17,전자,웹캠,2,42000.0,84000.0,부산,한국,카드
ORD-1116,임다은,2026-04-22,전자,마우스,3,15000.0,45000.0,수원,한국,현금
ORD-1117,권민재,2026-04-04,생활,스탠드,1,22000.0,22000.0,전주,한국,카드
ORD-1118,백하린,2026-04-25,주방,텀블러,1,16000.0,16000.0,광주,한국,간편결제
ORD-1119,박지훈,2026-04-10,전자,무선이어폰,1,59000.0,59000.0,광주,한국,현금
ORD-1120,강소라,2026-04-19,전자,웹캠,3,42000.0,126000.0,대구,한국,간편결제
